2023-04-29T13:08:51.026Z, info, POST /admin/register, admin created
2023-04-29T13:09:09.032Z, info, POST /admin/register, admin created
2023-04-29T13:09:21.673Z, info, POST /admin/register, admin created
2023-04-29T13:09:52.746Z, info, POST /admin/register, admin created
2023-04-29T13:15:19.582Z, error, POST /admin/register, unable to create
2023-04-29T13:15:21.700Z, error, POST /admin/register, unable to create
2023-04-29T13:15:51.663Z, error, POST /admin/register, unable to create
2023-04-29T13:18:08.884Z, error, POST /admin/register, unable to create
2023-04-29T13:19:42.183Z, info, POST /admin/register, admin created
2023-04-29T13:20:23.513Z, info, POST /admin/register, admin created
2023-04-29T13:46:30.846Z, info, POST /admin/register, user registered
2023-04-29T13:54:00.169Z, info, POST /admin/register, registered successfully
2023-04-29T13:55:20.656Z, info, POST /admin/register, registered successfully
2023-04-29T13:55:50.513Z, info, POST /admin/register, registered successfully
2023-04-29T13:56:15.140Z, info, POST /admin/register, registered successfully
2023-04-29T14:00:10.936Z, info, POST /admin/register, registered successfully
2023-04-29T14:00:58.908Z, info, POST /admin/register, registered successfully
2023-04-29T14:33:46.784Z, info, POST /admin/register, registered successfully
2023-04-29T14:51:22.126Z, info, POST /admin/login, login successfully
2023-04-29T14:52:48.621Z, info, POST /admin/login, login successfully
2023-04-29T14:55:31.552Z, info, POST /admin/login, login successfully
2023-04-29T14:56:46.498Z, info, POST /admin/login, login successfully
2023-04-29T15:33:29.896Z, info, POST /admin/login, login successfully
2023-04-29T15:34:07.444Z, info, POST /admin/login, login successfully
2023-04-29T15:34:17.962Z, info, POST /admin/login, login successfully
2023-04-29T15:35:07.354Z, info, POST /admin/login, login successfully
2023-04-29T15:35:17.416Z, info, POST /admin/login, login successfully
2023-04-29T15:45:28.859Z, info, POST /admin/uploadProduct,  file uploaded
2023-04-29T15:52:00.082Z, info, POST /admin/uploadProduct,  file uploaded
2023-04-29T15:56:30.626Z, info, POST /admin/uploadProduct,  file uploaded
2023-04-29T16:00:07.059Z, info, POST /admin/login, login successfully
2023-04-29T16:08:55.267Z, info, POST /admin/login, login successfully
2023-04-29T16:12:29.789Z, info, POST /admin/uploadProduct,  file uploaded
2023-04-29T16:12:42.895Z, info, POST /admin/login, login successfully
2023-04-29T16:13:07.295Z, info, POST /admin/login, login successfully
2023-04-29T16:14:24.173Z, info, POST /admin/uploadProduct,  file uploaded
2023-04-30T00:39:24.174Z, info, POST /admin/login, login successfully
2023-04-30T00:39:39.564Z, info, POST /admin/uploadProduct,  file uploaded
2023-04-30T00:48:36.817Z, error, GET /admin/listProducts, unable to fetch
2023-04-30T00:51:58.961Z, error, GET /admin/listProducts, unable to fetch products
2023-04-30T00:52:59.938Z, error, GET /admin/listProducts, unable to fetch
2023-04-30T00:57:14.334Z, error, GET /admin/listProducts, unable to fetch
2023-04-30T01:12:49.364Z, info, GET /admin/listProducts, product fetched successfully
2023-04-30T01:15:20.931Z, info, GET /admin/listProducts, product fetched successfully
2023-04-30T01:15:33.662Z, info, GET /admin/listProducts, product fetched successfully
2023-04-30T01:15:41.687Z, info, GET /admin/listProducts, product fetched successfully
2023-04-30T01:16:22.576Z, info, GET /admin/listProducts, product fetched successfully
2023-04-30T01:16:28.528Z, info, GET /admin/listProducts, product fetched successfully
2023-04-30T01:16:39.302Z, info, GET /admin/listProducts, product fetched successfully
2023-04-30T01:16:43.415Z, info, GET /admin/listProducts, product fetched successfully
2023-04-30T01:16:47.012Z, info, GET /admin/listProducts, product fetched successfully
2023-04-30T01:16:55.146Z, info, POST /admin/login, login successfully
